input,response,intent
Assalamu'alaikum.,Wa'alaikumsalam.,ucapan_salam_pembuka
Assalamu'alaikum warahmatullahi wabarakatuh.,Wa'alaikumsalam warahmatullahi wabarakatuh.,ucapan_salam_pembuka
Wassalamu'alaikum.,Wa'alaikumsalam.,ucapan_salam_pembuka
Halo,Halo juga! Ada yang bisa saya bantu?,ucapan_salam_pembuka
Selamat pagi,Selamat pagi! Semoga harimu menyenangkan. Ada yang bisa saya bantu?,ucapan_salam_pembuka
Apa ini nomor TU SD Arrohman?,Benar Anda sedang terhubung dengan chatbot TU SD Islam Arrohman.,ucapan_salam_pembuka
Dengan siapa ini?,Saya adalah chatbot tata usaha SD Islam Arrohman yang diprogram untuk menjawab pesan teks secara otomatis.,ucapan_salam_pembuka
Boleh tanya seputar sekolah?,Tentu! Silakan tanyakan hal yang ingin Anda ketahui.,ucapan_salam_pembuka
Dapatkah saya bertanya?,Silakan saya akan menjawab pertanyaan Anda dengan senang hati.,ucapan_salam_pembuka
Terima kasih,Sama-sama senang dapat membantu Anda.,ucapan_salam_pembuka
Berapa biaya seragamnya?,Biaya seragam di SD Islam Arrohman adalah Rp.150.000.,pertanyaan_seragam
Berapa biaya seragam di SD Islam Arrohman?,Biaya seragam di SD Islam Arrohman adalah Rp.150.000.,pertanyaan_seragam
Harga seragam lengkap berapa?,Biaya seragam di SD Islam Arrohman adalah Rp.150.000.,pertanyaan_seragam
Seragam sekolah ini bayar berapa?,Biaya seragam di SD Islam Arrohman adalah Rp.150.000.,pertanyaan_seragam
Saya ingin tahu biaya untuk seragam.,Biaya seragam di SD Islam Arrohman adalah Rp.150.000.,pertanyaan_seragam
Berapa biaya DSP atau bangunan di SD Islam Arrohman?,Tidak ada biaya DSP atau bangunan di SD Islam Arrohman.,pertanyaan_dsp
Apakah ada biaya DSP di sekolah ini?,Tidak ada biaya DSP atau bangunan di SD Islam Arrohman.,pertanyaan_dsp
Biaya bangunan di SD Arrohman berapa?,Tidak ada biaya DSP atau bangunan di SD Islam Arrohman.,pertanyaan_dsp
Berapa total biaya pendaftaran tahun ini di SD Islam Arrohman?,Total biaya pendaftaran tahun ini di SD Islam Arrohman adalah Rp.300.000.,pertanyaan_pendaftaran
Biaya pendaftaran tahun ini berapa?,Total biaya pendaftaran tahun ini di SD Islam Arrohman adalah Rp.300.000.,pertanyaan_pendaftaran
Berapa biaya SPP per bulan di SD Islam Arrohman?,Biaya SPP per bulan di SD Islam Arrohman adalah Rp. 100.000.,pertanyaan_spp
SPP berapa?,Biaya SPP per bulan di SD Islam Arrohman adalah Rp. 100.000.,pertanyaan_spp
Bayar SPP berapa?,Biaya SPP per bulan di SD Islam Arrohman adalah Rp. 100.000.,pertanyaan_spp
SPP bulan depan berapa ya?,Biaya SPP per bulan di SD Islam Arrohman adalah Rp. 100.000.,pertanyaan_spp
Apakah ada perpustakaan?,Ya kami memiliki perpustakaan yang nyaman dan lengkap.,pertanyaan_sarana
Bagaimana kondisi ruang kelas?,Ruang kelas kami bersih nyaman dan dilengkapi dengan fasilitas pendukung belajar.,pertanyaan_sarana
Apakah ada ruang komputer?,Ya tersedia ruang komputer untuk kegiatan pembelajaran teknologi.,pertanyaan_sarana
Apakah sekolah ini punya lapangan olahraga?,Ya sekolah memiliki lapangan olahraga yang luas.,pertanyaan_sarana
Apakah ada ruang UKS?,Tersedia ruang UKS untuk penanganan kesehatan siswa.,pertanyaan_sarana
